Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0402_1005Metric,303.75,-58.95625,270.0,bottom
C10,100nF,C_0402_1005Metric,313.895,-6.31,270.0,bottom
C11,100nF,C_0402_1005Metric,9.25,-68.25,270.0,bottom
C2,100nF,C_0402_1005Metric,302.5,-58.95625,270.0,bottom
C3,100nF,C_0402_1005Metric,315.5,-64.95625,90.0,bottom
C4,1uF,C_0402_1005Metric,281.5,-32.29375,180.0,bottom
C5,1uF,C_0402_1005Metric,280.5,-37.725,0.0,bottom
C6,1uF,C_0402_1005Metric,308.5,-68.95625,180.0,bottom
C7,100nF,C_0402_1005Metric,308.5,-67.70625,180.0,bottom
C8,4.7uF,C_0402_1005Metric,312.5,-54.70625,0.0,bottom
C9,100nF,C_0402_1005Metric,312.5,-55.95625,0.0,bottom
CR1,10uF,C_0402_1005Metric,21.5,-56.3125,270.0,bottom
CR2,1uF,C_0402_1005Metric,15.25,-56.3125,90.0,bottom
D1,PRTR5V0U2X,SOT-143,278.60625,-28.575,180.0,bottom
D10,1N4148W,D_SOD-123,165.1,-1.5875,90.0,bottom
D11,1N4148W,D_SOD-123,188.9125,-1.5875,90.0,bottom
D12,1N4148W,D_SOD-123,212.725,-1.5875,90.0,bottom
D13,1N4148W,D_SOD-123,231.775,-1.5875,90.0,bottom
D14,1N4148W,D_SOD-123,250.825,-1.5875,90.0,bottom
D15,1N4148W,D_SOD-123,269.875,-1.5875,90.0,bottom
D16,1N4148W,D_SOD-123,293.6875,-1.5875,90.0,bottom
D17,1N4148W,D_SOD-123,316.70625,-1.5875,90.0,bottom
D18,1N4148W,D_SOD-123,331.7875,-1.5875,90.0,bottom
D19,1N4148W,D_SOD-123,3.175,-25.4,90.0,bottom
D2,1N4148W,D_SOD-123,3.175,-1.5875,90.0,bottom
D20,1N4148W,D_SOD-123,22.225,-25.4,90.0,bottom
D21,1N4148W,D_SOD-123,41.275,-25.4,90.0,bottom
D22,1N4148W,D_SOD-123,60.325,-25.4,90.0,bottom
D23,1N4148W,D_SOD-123,79.375,-25.4,90.0,bottom
D24,1N4148W,D_SOD-123,98.425,-25.4,90.0,bottom
D25,1N4148W,D_SOD-123,117.475,-25.4,90.0,bottom
D26,1N4148W,D_SOD-123,136.525,-25.4,90.0,bottom
D27,1N4148W,D_SOD-123,155.575,-25.4,90.0,bottom
D28,1N4148W,D_SOD-123,174.625,-25.4,90.0,bottom
D29,1N4148W,D_SOD-123,193.675,-25.4,90.0,bottom
D3,1N4148W,D_SOD-123,26.9875,-1.5875,90.0,bottom
D30,1N4148W,D_SOD-123,212.725,-25.4,90.0,bottom
D31,1N4148W,D_SOD-123,231.775,-25.4,90.0,bottom
D32,1N4148W,D_SOD-123,240.50625,-25.4,90.0,bottom
D33,1N4148W,D_SOD-123,293.6875,-25.4,90.0,bottom
D34,1N4148W,D_SOD-123,312.7375,-25.4,90.0,bottom
D35,1N4148W,D_SOD-123,331.7875,-25.4,90.0,bottom
D36,1N4148W,D_SOD-123,7.9375,-44.45,90.0,bottom
D37,1N4148W,D_SOD-123,31.75,-44.45,90.0,bottom
D38,1N4148W,D_SOD-123,50.8,-44.45,90.0,bottom
D39,1N4148W,D_SOD-123,69.85,-44.45,90.0,bottom
D4,1N4148W,D_SOD-123,46.0375,-1.5875,90.0,bottom
D40,1N4148W,D_SOD-123,88.9,-44.45,90.0,bottom
D41,1N4148W,D_SOD-123,107.95,-44.45,90.0,bottom
D42,1N4148W,D_SOD-123,127.0,-44.45,90.0,bottom
D43,1N4148W,D_SOD-123,146.05,-44.45,90.0,bottom
D44,1N4148W,D_SOD-123,165.1,-44.45,90.0,bottom
D45,1N4148W,D_SOD-123,184.15,-44.45,90.0,bottom
D46,1N4148W,D_SOD-123,203.2,-44.45,90.0,bottom
D47,1N4148W,D_SOD-123,222.25,-44.45,90.0,bottom
D48,1N4148W,D_SOD-123,241.3,-44.45,90.0,bottom
D49,1N4148W,D_SOD-123,252.4125,-44.45,90.0,bottom
D5,1N4148W,D_SOD-123,65.0875,-1.5875,90.0,bottom
D50,1N4148W,D_SOD-123,293.6875,-44.45,90.0,bottom
D51,1N4148W,D_SOD-123,312.7375,-44.45,90.0,bottom
D52,1N4148W,D_SOD-123,331.7875,-44.45,90.0,bottom
D53,1N4148W,D_SOD-123,10.31875,-63.5,90.0,bottom
D54,1N4148W,D_SOD-123,36.5125,-63.5,90.0,bottom
D55,1N4148W,D_SOD-123,55.5625,-63.5,90.0,bottom
D56,1N4148W,D_SOD-123,74.6125,-63.5,90.0,bottom
D57,1N4148W,D_SOD-123,93.6625,-63.5,90.0,bottom
D58,1N4148W,D_SOD-123,112.7125,-63.5,90.0,bottom
D59,1N4148W,D_SOD-123,131.7625,-63.5,90.0,bottom
D6,1N4148W,D_SOD-123,84.1375,-1.5875,90.0,bottom
D60,1N4148W,D_SOD-123,150.8125,-63.5,90.0,bottom
D61,1N4148W,D_SOD-123,169.8625,-63.5,90.0,bottom
D62,1N4148W,D_SOD-123,188.9125,-63.5,90.0,bottom
D63,1N4148W,D_SOD-123,207.9625,-63.5,90.0,bottom
D64,1N4148W,D_SOD-123,227.0125,-63.5,90.0,bottom
D65,1N4148W,D_SOD-123,235.74375,-63.5,90.0,bottom
D66,1N4148W,D_SOD-123,273.84375,-23.8125,90.0,bottom
D67,1N4148W,D_SOD-123,15.08125,-82.55,90.0,bottom
D68,1N4148W,D_SOD-123,30.95625,-82.55,90.0,bottom
D69,1N4148W,D_SOD-123,46.0375,-82.55,90.0,bottom
D7,1N4148W,D_SOD-123,107.95,-1.5875,90.0,bottom
D70,1N4148W,D_SOD-123,65.0875,-82.55,90.0,bottom
